INFO 2024-07-30 15:00:01,472 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-30 15:00:01,719 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1721638515.3001933
DEBUG 2024-07-30 15:00:01,720 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\email\_encoded_words.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,720 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\datetime.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,720 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\html\parser.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,721 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1721638513.4318614
DEBUG 2024-07-30 15:00:01,721 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1721638515.114885
DEBUG 2024-07-30 15:00:01,721 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\zoneinfo\__init__.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,722 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\signing.py first seen with mtime 1721638515.0879574
DEBUG 2024-07-30 15:00:01,722 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_subprocess.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,723 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\messages\middleware.py first seen with mtime 1721638514.5890005
DEBUG 2024-07-30 15:00:01,723 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\decorators.py first seen with mtime 1721638515.278185
DEBUG 2024-07-30 15:00:01,723 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1721638515.1712778
DEBUG 2024-07-30 15:00:01,723 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1721638515.1964028
DEBUG 2024-07-30 15:00:01,723 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\__init__.py first seen with mtime 1721638515.271204
DEBUG 2024-07-30 15:00:01,724 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\random.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,724 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\library.py first seen with mtime 1721638515.2532513
DEBUG 2024-07-30 15:00:01,724 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\socket.py first seen with mtime 1717682952.0
